commit,sev_high,sev_med,sev_low,conf_high,conf_med,conf_low,cwe
286fd694eaf006481c9fdc59a8324e4405fd0683,0,1,2922,2862,61,0,"703,259,78,330,605"
e157cf4b9625b2ccdd6a3214ba552bcde9452912,0,1,2922,2862,61,0,"703,259,78,330,605"
235300c1d2a7d8a011685adc1c9aa2c195c0368f,0,1,2922,2862,61,0,"703,259,78,330,605"
c868581ce7a108bfbef7c3fb4b42fa663dfdea97,0,1,2922,2862,61,0,"703,259,78,330,605"
7e67a91b08c0076ea09c69f9c52fac630c5cad7b,0,1,2922,2862,61,0,"703,259,78,330,605"
e24299b2ffb027967c4cedb25dade42121edc17f,0,1,2922,2862,61,0,"703,259,78,330,605"
e24a5002929245ceb0b5fa8e72f684ad6421b3a8,0,1,2922,2862,61,0,"703,259,78,330,605"
5451d05bc84fc8888dfc9cd8a9f3b2c3987c751e,0,1,2922,2862,61,0,"703,259,78,330,605"
2b3b4161220da0ed854f0d556aa497a8e3e574db,0,1,3046,2986,61,0,"703,259,78,330,605"
08b817a84294a7e606f8437d11ee75fd3ef207a4,0,1,3046,2986,61,0,"703,259,78,330,605"
2e788bbbdce346ab53f972cc87ecceeba2299bbe,0,1,3046,2986,61,0,"703,259,78,330,605"
9ec452a154e15e4af0f57f51a4fe1fee58879c4c,0,1,3046,2986,61,0,"703,259,78,330,605"
2c937aabefe45b109edde6bc929721c2343804eb,0,1,3046,2986,61,0,"703,259,78,330,605"
f6872dd29849a07a8cfd475c7c56dfa3f3ea5808,0,1,3046,2986,61,0,"703,259,78,330,605"
cbd7b986e7108ea5cb79eb653e37e0073bd22645,0,1,3046,2986,61,0,"703,259,78,330,605"
1e6d95ce6d9ab5bc13796d2d068540e9c765e4c1,0,1,3046,2986,61,0,"703,259,78,330,605"
540d8ff398ececd31c5299d0f6823523efb69c5d,0,1,3078,3018,61,0,"703,259,78,330,605"
261bc2d3875ad95ec570a2cb15df6a54af39207f,0,1,3078,3018,61,0,"703,259,78,330,605"
db554ca09426dfa7031a1b07a8b016b48c82c222,0,1,3078,3018,61,0,"703,259,78,330,605"
ac893a4446c3157fdf0ac4bbabcda08031676ea2,0,1,3078,3018,61,0,"703,259,78,330,605"
b81d29fc0060cb97f5fffb70344c640f3f98a9ad,0,1,3078,3018,61,0,"703,259,78,330,605"
10a13d05c4d31978e0255f76baf54b394430c89c,0,1,3078,3018,61,0,"703,259,78,330,605"
d51936754d9ab943181472edadc869c317d8a5b0,0,1,3078,3018,61,0,"703,259,78,330,605"
030012bf4c225a2b5dbb3c6b3443bd2051e614f8,0,1,3078,3018,61,0,"703,259,78,330,605"
fc94d904c969ba1b85aa9d9a966ad8dee27e7652,0,1,3078,3018,61,0,"703,259,78,330,605"
